Nachname,Vorname,Ersteinzug,Partei,Akadem. Grad
Abdi,Sanae,,SPD,
Abel,Valentin,,FDP,
Abraham,Knut,,CDU/CSU,
Adler,Katja,,FDP,
Aeffner,Stephanie,2022,Die Grünen,
Ahmetović,Adis,,SPD,
Akbulut,Gökay,2017,Gruppe Die Linke,
Al-Dailami,Ali,2021,Gruppe BSW,
Al-Halak,Muhanad,,FDP,
Alabali-Radovan,Reem,,SPD,
Albani,Stephan,,CDU/CSU,
Alt,Renata,2017,FDP,
Altenkamp,Norbert Maria,,CDU/CSU,
Amthor,Philipp,2018,CDU/CSU,
Amtsberg,Luise,2013,Die Grünen,
Andres,Dagmar,2022,SPD,
Annen,Niels,2006,SPD,
Arlt,Johannes,,SPD,
Aschenberg-Dugnus,Christine,,FDP,
Audretsch,Andreas,2021,Die Grünen,
Auernhammer,Artur,2004,CDU/CSU,
Aumer,Peter,2010,CDU/CSU,
Außendorf,Maik,,Die Grünen,
Bacherle,Tobias B.,,Die Grünen,
Bachmann,Carolin,2021,AfD,
Badum,Lisa,,Die Grünen,
Baehrens,Heike,,SPD,
Bär,Dorothee,2002,CDU/CSU,
Bär,Karl,,Die Grünen,
Baerbock,Annalena,2013,Die Grünen,
Bahr,Ulrike,,SPD,
Baldy,Daniel,,SPD,
Banaszak,Felix,2022,Die Grünen,
Baradari,Nezahat,,SPD,
Bareiß,Thomas,,CDU/CSU,
Bartelt,Christian,2023,FDP,
Bartol,Sören,2002,SPD,
Bartsch,Dietmar,,Gruppe Die Linke,Dr.
Bartz,Alexander,2022,SPD,
Bas,Bärbel,,SPD,
Bauer,Nicole,2018,FDP,
Baum,Christina,,AfD,Dr.
Baumann,Bernd,,AfD,Dr.
Bayram,Canan,,Die Grünen,
Beck,Katharina,,Die Grünen,
Beckamp,Roger,2021,AfD,
Becker,Holger,,SPD,Dr.
Beeck,Jens,2018,FDP,
Benkstein,Barbara,2021,AfD,
Benner,Lukas,2022,Die Grünen,
Berghahn,Jürgen,2022,SPD,
Berghegger,André,,CDU/CSU,Dr.
Bergt,Bengt,,SPD,
Bernhard,Marc,2017,AfD,
Bernstein,Melanie,2018,CDU/CSU,
Beyer,Peter,2009,CDU/CSU,
Biadacz,Marc,2018,CDU/CSU,
Bilger,Steffen,2010,CDU/CSU,
Birkwald,Matthias W.,2009,Gruppe Die Linke,
Blankenburg,Jakob,2021,SPD,
Bleck,Andreas,,AfD,
Bochmann,René,,AfD,
Bodtke,Ingo,,FDP,
Boehringer,Peter,,AfD,
Boginski,Friedhelm,2022,FDP,
Bollmann,Gereon,,AfD,
Borchardt,Simone,,CDU/CSU,
Brand (Fulda),Michael,,CDU/CSU,
Brandenburg (Rhein-Neckar),Jens,,FDP,Dr.
Brandenburg (Südpfalz),Mario,,FDP,
Brandes,Dirk,,AfD,
Brandl,Reinhard,,CDU/CSU,Dr.
Brandner,Stephan,,AfD,
Brantner,Franziska,,Die Grünen,Dr.
Braun,Dr. Helge,,CDU/CSU,Prof.
Braun,Jürgen,,AfD,
Breher,Silvia,,CDU/CSU,
Brehm,Sebastian,,CDU/CSU,
Brehmer,Heike,2010,CDU/CSU,
Breilmann,Michael,2022,CDU/CSU,
Breymaier,Leni,2018,SPD,
Brinkhaus,Ralph,,CDU/CSU,
Brodesser,Carsten,,CDU/CSU,Dr.
Bröhr,Marlon,,CDU/CSU,Dr.
Brugger,Agnieszka,2009,Die Grünen,
Bsirske,Frank,2022,Die Grünen,
Bubendorfer-Licht,Sandra,,FDP,
Budde,Katrin,2017,SPD,
Bühl,Marcus,,AfD,
Bünger,Clara,2022,Gruppe Die Linke,
Bury,Yannick,,CDU/CSU,Dr.
Buschmann,Marco,,FDP,Dr.
Busen,Karlheinz,,FDP,
Bystron,Petr,2018,AfD,
Cademartori,Isabel,,SPD,
Castellucci,Dr. Lars,,SPD,Prof.
Cezanne,Jörg,,Gruppe Die Linke,
Christmann,Anna,,Die Grünen,Dr.
Chrupalla,Tino,,AfD,
Connemann,Gitta,,CDU/CSU,
Coße,Jürgen,2016,SPD,
Cotar,Joana,2017,fraktionslos,
Cronenberg,Carl-Julius,,FDP,
Curio,Gottfried,,AfD,Dr.
Czaja,Mario,2013,CDU/CSU,
Dahmen,Janosch,,Die Grünen,Dr.
Daldrup,Bernhard,2014,SPD,
Damerow,Astrid,,CDU/CSU,
Dağdelen,Sevim,,Gruppe BSW,
De Ridder,Daniela,,SPD,Dr.
Deligöz,Ekin,1998,Die Grünen,
Demir,Hakan,,SPD,
Detzer,Sandra,,Die Grünen,Dr.
Diaby,Karamba,,SPD,Dr.
Diedenhofen,Martin,2022,SPD,
Dieren,Jan,2022,SPD,
Dietz,Thomas,,AfD,
Dilcher,Esther,2018,SPD,
Dittmar,Sabine,2014,SPD,
Djir-Sarai,Bijan,,FDP,
Dobrindt,Alexander,,CDU/CSU,
Döring,Felix,2022,SPD,
Domscheit-Berg,Anke,2017,Gruppe Die Linke,
Donth,Michael,,CDU/CSU,
Dröge,Katharina,,Die Grünen,
Droßmann,Falko,,SPD,
Düring,Deborah,,Die Grünen,
Dürr,Christian,,FDP,
Durz,Hansjörg,2014,CDU/CSU,
Ebner,Harald,,Die Grünen,
Echeverria,Axel,2022,SPD,
Eckert,Leon,,Die Grünen,
Edelhäußer,Ralph,,CDU/CSU,
Ehrhorn,Thomas,,AfD,
Eichwede,Sonja,,SPD,
Emmerich,Marcel,,Die Grünen,
Engelhard,Alexander,,CDU/CSU,
Engelhardt,Heike,,SPD,
Englhardt-Kopf,Martina,,CDU/CSU,
Erndl,Thomas,2018,CDU/CSU,
Ernst,Klaus,2005,Gruppe BSW,
Esdar,Wiebke,,SPD,Dr.
Esken,Saskia,2014,SPD,
Espendiller,Michael,,AfD,Dr.
Faber,Marcus,,FDP,Dr.
Färber,Hermann,2014,CDU/CSU,
Fäscher,Ariane,2022,SPD,
Fahimi,Yasmin,2016,SPD,
Farle,Robert,2021,fraktionslos,
Fechner,Johannes,,SPD,Dr.
Feiler,Uwe,2014,CDU/CSU,
Felser,Peter,,AfD,
Ferlemann,Enak,,CDU/CSU,
Ferschl,Susanne,2017,Gruppe Die Linke,
Fester,Emilia,,Die Grünen,
Fiedler,Sebastian,,SPD,
Föhr,Alexander,2023,CDU/CSU,
Föst,Daniel,,FDP,
Franke,Edgar,,SPD,Dr.
Frei,Thorsten,2014,CDU/CSU,
Fricke,Otto,,FDP,
Friedhoff,Dietmar,,AfD,
Friedrich (Hof),Hans-Peter,,CDU/CSU,Dr.
Frieser,Michael,2009,CDU/CSU,
Frömming,Götz,,AfD,Dr.
Frohnmaier,Markus,2017,AfD,
Funke,Fabian,,SPD,
Funke-Kaiser,Maximilian,,FDP,
Gädechens,Ingo,,CDU/CSU,
Gambir,Schahina,,Die Grünen,
Ganserer,Tessa,2022,Die Grünen,
Gassner-Herz,Martin,2022,FDP,
Gastel,Matthias,2013,Die Grünen,
Gauland,Alexander,,AfD,Dr.
Gava,Manuel,2022,SPD,
Gebhart,Thomas,,CDU/CSU,Dr.
Gehring,Kai,2005,Die Grünen,
Geissler,Jonas,,CDU/CSU,Dr.
Gelbhaar,Stefan,,Die Grünen,
Gerdes,Michael,2009,SPD,
Gerschau,Knut,2022,FDP,
Gerster,Martin,2006,SPD,
Gesenhues,Jan-Niclas,,Die Grünen,Dr.
Glaser,Albrecht,,AfD,
Glöckner,Angelika,2014,SPD,
Glogowski-Merten,Anikó,,FDP,
Gnauck,Hannes,,AfD,
Göring-Eckardt,Katrin,1998,Die Grünen,
Görke,Christian,2016,Gruppe Die Linke,
Gohlke,Nicole,2009,Gruppe Die Linke,
Gottschalk,Kay,,AfD,
Gräßle,Ingeborg,,CDU/CSU,Dr.
Gramling,Fabian,,CDU/CSU,
Grau,Dr. Armin,,Die Grünen,Prof.
Gremmels,Timon,2017,SPD,
Griese,Kerstin,,SPD,
Griewel,Fabian,,FDP,
Gröhe,Hermann,1995,CDU/CSU,
Grötsch,Uli,2014,SPD,
Grosse-Brömer,Michael,2002,CDU/CSU,
Grübel,Markus,2002,CDU/CSU,
Gründer,Nils,2022,FDP,
Grünke,Julian,2024,FDP,
Grütters,Monika,,CDU/CSU,Prof.
Grützmacher,Sabine,,Die Grünen,
Grund,Manfred,1994,CDU/CSU,
Grundl,Erhard,2018,Die Grünen,
Grundmann,Oliver,2014,CDU/CSU,
Güler,Serap,2022,CDU/CSU,
Güntzler,Fritz,,CDU/CSU,
Gürpinar,Ates,2021,Gruppe Die Linke,
Gutting,Olav,,CDU/CSU,
Gysi,Gregor,,Gruppe Die Linke,Dr.
Haase,Christian,,CDU/CSU,
Habeck,Robert,,Die Grünen,Dr.
Hacker,Thomas,,FDP,
Hagedorn,Bettina,2002,SPD,
Hagl-Kehl,Rita,2014,SPD,
