Name,MdB,Partei
"Abdi, Sanae",MdB,SPD
"Abel, Valentin",MdB,FDP
"Abraham, Knut",MdB,CDU/CSU
"Adler, Katja",MdB,FDP
"Aeffner, Stephanie",MdB,Bündnis 90/Die Grünen
"Ahmetović, Adis",MdB,SPD
"Akbulut, Gökay",MdB,Gruppe Die Linke
"Al-Dailami, Ali",MdB,Gruppe BSW
"Al-Halak, Muhanad",MdB,FDP
"Alabali-Radovan, Reem",MdB,SPD
"Albani, Stephan",MdB,CDU/CSU
"Alt, Renata",MdB,FDP
"Altenkamp, Norbert Maria",MdB,CDU/CSU
"Amthor, Philipp",MdB,CDU/CSU
"Amtsberg, Luise",MdB,Bündnis 90/Die Grünen
"Andres, Dagmar",MdB,SPD
"Annen, Niels",MdB,SPD
"Arlt, Johannes",MdB,SPD
"Aschenberg-Dugnus, Christine",MdB,FDP
"Audretsch, Andreas",MdB,Bündnis 90/Die Grünen
"Auernhammer, Artur",MdB,CDU/CSU
"Aumer, Peter",MdB,CDU/CSU
"Außendorf, Maik",MdB,Bündnis 90/Die Grünen
"Bacherle, Tobias B.",MdB,Bündnis 90/Die Grünen
"Bachmann, Carolin",MdB,AfD
"Badum, Lisa",MdB,Bündnis 90/Die Grünen
"Baehrens, Heike",MdB,SPD
"Bär, Dorothee",MdB,CDU/CSU
"Bär, Karl",MdB,Bündnis 90/Die Grünen
"Baerbock, Annalena",MdB,Bündnis 90/Die Grünen
"Bahr, Ulrike",MdB,SPD
"Baldy, Daniel",MdB,SPD
"Banaszak, Felix",MdB,Bündnis 90/Die Grünen
"Baradari, Nezahat",MdB,SPD
"Bareiß, Thomas",MdB,CDU/CSU
"Bartelt, Christian",MdB,FDP
"Bartol, Sören",MdB,SPD
"Bartsch, Dr. Dietmar",MdB,Gruppe Die Linke
"Bartz, Alexander",MdB,SPD
"Bas, Bärbel",MdB,SPD
"Bauer, Nicole",MdB,FDP
"Baum, Dr. Christina",MdB,AfD
"Baumann, Dr. Bernd",MdB,AfD
"Bayram, Canan",MdB,Bündnis 90/Die Grünen
"Beck, Katharina",MdB,Bündnis 90/Die Grünen
"Beckamp, Roger",MdB,AfD
"Becker, Dr. Holger",MdB,SPD
"Beeck, Jens",MdB,FDP
"Benkstein, Barbara",MdB,AfD
"Benner, Lukas",MdB,Bündnis 90/Die Grünen
"Berghahn, Jürgen",MdB,SPD
"Berghegger, Dr. André",MdB,CDU/CSU  *
"Bergt, Bengt",MdB,SPD
"Bernhard, Marc",MdB,AfD
"Bernstein, Melanie",MdB,CDU/CSU
"Beyer, Peter",MdB,CDU/CSU
"Biadacz, Marc",MdB,CDU/CSU
"Bilger, Steffen",MdB,CDU/CSU
"Birkwald, Matthias W.",MdB,Gruppe Die Linke
"Blankenburg, Jakob",MdB,SPD
"Bleck, Andreas",MdB,AfD
"Bochmann, René",MdB,AfD
"Bodtke, Ingo",MdB,FDP
"Boehringer, Peter",MdB,AfD
"Boginski, Friedhelm",MdB,FDP
"Bollmann, Gereon",MdB,AfD
"Borchardt, Simone",MdB,CDU/CSU
"Brand (Fulda), Michael",MdB,CDU/CSU
"Brandenburg (Rhein-Neckar), Dr. Jens",MdB,FDP
"Brandenburg (Südpfalz), Mario",MdB,FDP
"Brandes, Dirk",MdB,AfD
"Brandl, Dr. Reinhard",MdB,CDU/CSU
"Brandner, Stephan",MdB,AfD
"Brantner, Dr. Franziska",MdB,Bündnis 90/Die Grünen
"Braun, Prof. Dr. Helge",MdB,CDU/CSU
"Braun, Jürgen",MdB,AfD
"Breher, Silvia",MdB,CDU/CSU
"Brehm, Sebastian",MdB,CDU/CSU
"Brehmer, Heike",MdB,CDU/CSU
"Breilmann, Michael",MdB,CDU/CSU
"Breymaier, Leni",MdB,SPD
"Brinkhaus, Ralph",MdB,CDU/CSU
"Brodesser, Dr. Carsten",MdB,CDU/CSU
"Bröhr, Dr. Marlon",MdB,CDU/CSU
"Brugger, Agnieszka",MdB,Bündnis 90/Die Grünen
"Bsirske, Frank",MdB,Bündnis 90/Die Grünen
"Bubendorfer-Licht, Sandra",MdB,FDP
"Budde, Katrin",MdB,SPD
"Bühl, Marcus",MdB,AfD
"Bünger, Clara",MdB,Gruppe Die Linke
"Bury, Dr. Yannick",MdB,CDU/CSU
"Buschmann, Dr. Marco",MdB,FDP
"Busen, Karlheinz",MdB,FDP
"Bystron, Petr",MdB,AfD  *
"Cademartori, Isabel",MdB,SPD
"Castellucci, Prof. Dr. Lars",MdB,SPD
"Cezanne, Jörg",MdB,Gruppe Die Linke
"Christmann, Dr. Anna",MdB,Bündnis 90/Die Grünen
"Chrupalla, Tino",MdB,AfD
"Connemann, Gitta",MdB,CDU/CSU
"Coße, Jürgen",MdB,SPD
"Cotar, Joana",MdB,fraktionslos
"Cronenberg, Carl-Julius",MdB,FDP
"Curio, Dr. Gottfried",MdB,AfD
"Czaja, Mario",MdB,CDU/CSU
"Dahmen, Dr. Janosch",MdB,Bündnis 90/Die Grünen
"Daldrup, Bernhard",MdB,SPD
"Damerow, Astrid",MdB,CDU/CSU
"Dağdelen, Sevim",MdB,Gruppe BSW
"De Ridder, Dr. Daniela",MdB,SPD
"Deligöz, Ekin",MdB,Bündnis 90/Die Grünen
"Demir, Hakan",MdB,SPD
"Detzer, Dr. Sandra",MdB,Bündnis 90/Die Grünen
"Diaby, Dr. Karamba",MdB,SPD
"Diedenhofen, Martin",MdB,SPD
"Dieren, Jan",MdB,SPD
"Dietz, Thomas",MdB,AfD
"Dilcher, Esther",MdB,SPD
"Dittmar, Sabine",MdB,SPD
"Djir-Sarai, Bijan",MdB,FDP
"Dobrindt, Alexander",MdB,CDU/CSU
"Döring, Felix",MdB,SPD
"Domscheit-Berg, Anke",MdB,Gruppe Die Linke
"Donth, Michael",MdB,CDU/CSU
"Dröge, Katharina",MdB,Bündnis 90/Die Grünen
"Droßmann, Falko",MdB,SPD
"Düring, Deborah",MdB,Bündnis 90/Die Grünen
"Dürr, Christian",MdB,FDP
"Durz, Hansjörg",MdB,CDU/CSU
"Ebner, Harald",MdB,Bündnis 90/Die Grünen
"Echeverria, Axel",MdB,SPD
"Eckert, Leon",MdB,Bündnis 90/Die Grünen
"Edelhäußer, Ralph",MdB,CDU/CSU
"Ehrhorn, Thomas",MdB,AfD
"Eichwede, Sonja",MdB,SPD
"Emmerich, Marcel",MdB,Bündnis 90/Die Grünen
"Engelhard, Alexander",MdB,CDU/CSU
"Engelhardt, Heike",MdB,SPD
"Englhardt-Kopf, Martina",MdB,CDU/CSU
"Erndl, Thomas",MdB,CDU/CSU
"Ernst, Klaus",MdB,Gruppe BSW
"Esdar, Dr. Wiebke",MdB,SPD
"Esken, Saskia",MdB,SPD
"Espendiller, Dr. Michael",MdB,AfD
"Faber, Dr. Marcus",MdB,FDP
"Färber, Hermann",MdB,CDU/CSU
"Fäscher, Ariane",MdB,SPD
"Fahimi, Yasmin",MdB,SPD  *
"Farle, Robert",MdB,fraktionslos
"Fechner, Dr. Johannes",MdB,SPD
"Feiler, Uwe",MdB,CDU/CSU
"Felser, Peter",MdB,AfD
"Ferlemann, Enak",MdB,CDU/CSU
"Ferschl, Susanne",MdB,Gruppe Die Linke
"Fester, Emilia",MdB,Bündnis 90/Die Grünen
"Fiedler, Sebastian",MdB,SPD
